isbn13,isbn10,title,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,title_and_subtitle,tagged_description
9780553576016,0553576011,Send No Flowers,Sandra Brown,Fiction,http://books.google.com/books/content?id=NOOfXzOYvIoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The young widow, Alicia Russell, is shocked when her lover, Pierce Reynolds, suddenly begins to act coldly toward her",2000.0,3.56,225.0,2551.0,Send No Flowers,"9780553576016 The young widow, Alicia Russell, is shocked when her lover, Pierce Reynolds, suddenly begins to act coldly toward her"
9780553580143,0553580140,Reave the Just and Other Tales,Stephen R. Donaldson,Fiction,http://books.google.com/books/content?id=sESMToS9hLgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Contains eight stories of heroic adventure in alternative worlds, highlighting the individual's power to overcome adversity and dark fairy tales.",2000.0,3.9,486.0,1104.0,Reave the Just and Other Tales,"9780553580143 Contains eight stories of heroic adventure in alternative worlds, highlighting the individual's power to overcome adversity and dark fairy tales."
9780553803709,0553803700,"I, Robot",Isaac Asimov,Fiction,http://books.google.com/books/content?id=QEhWPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The development of robot technology to a state of perfection by future civilizations is explored in nine science fiction stories.,2004.0,4.19,224.0,225145.0,"I, Robot",9780553803709 The development of robot technology to a state of perfection by future civilizations is explored in nine science fiction stories.
9780571144563,057114456X,Immortality,Milan Kundera,Czech fiction,http://books.google.com/books/content?id=EyZ4PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A modern classic, ""Immortality"" is ""ingenious, witty, provocative, and formidably intelligent, both a pleasure and a challenge to the reader"" (""Washington Post Book World"").",1992.0,4.13,400.0,20908.0,Immortality,"9780571144563 A modern classic, ""Immortality"" is ""ingenious, witty, provocative, and formidably intelligent, both a pleasure and a challenge to the reader"" (""Washington Post Book World"")."
9780571172481,0571172482,Lawrence Durrell,Ian S. MacNiven,Biography & Autobiography,http://books.google.com/books/content?id=77J0QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Traces the life of the English author and discusses how his private world was assimilated into his writings,1998.0,4.04,801.0,24.0,Lawrence Durrell: A Biography,9780571172481 Traces the life of the English author and discusses how his private world was assimilated into his writings
9780571178568,0571178561,The Last Temptation,Nikos Kazantzakis,Fiction,http://books.google.com/books/content?id=tbA-HQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Novel which portrays Christ as a sensitive human being who is torn between his own passionates desires and his triumphant destiny on the cross.,2000.0,4.16,589.0,109.0,The Last Temptation,9780571178568 Novel which portrays Christ as a sensitive human being who is torn between his own passionates desires and his triumphant destiny on the cross.
9780571191635,0571191630,View with a Grain of Sand,Wisława Szymborska,Polish poetry,http://books.google.com/books/content?id=aoJ8QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Selection of poetry of Szymborska - pronounced Shimboorska - the Polish poet who won the Nobel Prize for Literature.,1996.0,4.33,214.0,30.0,View with a Grain of Sand: Selected Poems,9780571191635 Selection of poetry of Szymborska - pronounced Shimboorska - the Polish poet who won the Nobel Prize for Literature.
9780571211500,057121150X,Fat Pig,Neil LaBute,Drama,http://books.google.com/books/content?id=4ZVqDAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Cast ages: adult.,2004.0,3.56,112.0,2312.0,Fat Pig: A Play,9780571211500 Cast ages: adult.
9780571219315,0571219314,The Kid Stays in the Picture,Robert Evans,Motion picture actors and actresses,http://books.google.com/books/content?id=yCZFPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""'It's the wildest, most profane, most ridiculously riveting movie memoir ever!' - Newsweek""",2004.0,3.91,462.0,2081.0,The Kid Stays in the Picture,"9780571219315 ""'It's the wildest, most profane, most ridiculously riveting movie memoir ever!' - Newsweek"""
9780571225392,057122539X,The Unconsoled,Kazuo Ishiguro,Fiction,http://books.google.com/books/content?id=OD1EPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The Unconsoled is an extraordinary study of a man whose life has accelerated beyond his control,2005.0,3.53,535.0,7083.0,The Unconsoled,9780571225392 The Unconsoled is an extraordinary study of a man whose life has accelerated beyond his control
9780575048362,0575048360,Eric,Terry Pratchett,Fantasy fiction,,Eric calls up a demon to grant him three wishes - but what he gets is the Discworld's most incompetent wizard ...,1990.0,3.75,126.0,179.0,Eric,9780575048362 Eric calls up a demon to grant him three wishes - but what he gets is the Discworld's most incompetent wizard ...
9780575075368,0575075368,Dark Lord of Derkholm,Diana Wynne Jones,Fantasy fiction,http://books.google.com/books/content?id=ILwjHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Can the Wizard Derk and his family of human and griffin children save the world from the depradations of the evil Mr Chesney?,2003.0,4.12,328.0,12369.0,Dark Lord of Derkholm,9780575075368 Can the Wizard Derk and his family of human and griffin children save the world from the depradations of the evil Mr Chesney?
9780575601970,0575601973,A Sudden Wild Magic,Diana Wynne Jones,,http://books.google.com/books/content?id=a0EcNgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A breathtakingly original, funny adventure of wars, worlds and otherworlds by one of the greatest fantasy writers in Britain",1997.0,3.76,380.0,101.0,A Sudden Wild Magic,"9780575601970 A breathtakingly original, funny adventure of wars, worlds and otherworlds by one of the greatest fantasy writers in Britain"
9780586008355,0586008357,The Caves of Steel,Isaac Asimov,Fiction,http://books.google.com/books/content?id=sz7CQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A Classic Robot novel.,1993.0,4.16,206.0,59865.0,The Caves of Steel,9780586008355 A Classic Robot novel.
9780586203194,0586203192,2061,Arthur C. Clarke,Computers,http://books.google.com/books/content?id=uSj0D8f70LUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Science fiction-roman.,1997.0,3.55,302.0,20216.0,2061: Odyssey Three,9780586203194 Science fiction-roman.
9780586203798,0586203796,Mistress of the Empire,Raymond E. Feist;Janny Wurts,English fiction,http://books.google.com/books/content?id=Y2tFKRiYA0cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Book 3 of the Empire trilogy.,1997.0,4.31,860.0,440.0,Mistress of the Empire,9780586203798 Book 3 of the Empire trilogy.
9780586217832,0586217835,Magician,Raymond E. Feist,Adventure stories,http://books.google.com/books/content?id=3IYA72d9dgMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The first book in the Riftwar series.,1993.0,4.33,681.0,49332.0,Magician,9780586217832 The first book in the Riftwar series.
